연도,면적,생산량
1992,"1,156,885","5,330,826"
1993,"1,135,812","4,749,562"
1994,"1,102,608","5,059,764"
1995,"1,055,868","4,694,956"
1996,"1,049,556","5,322,962"
1997,"1,052,395","5,449,561"
1998,"1,058,927","5,096,879"
1999,"1,066,203","5,262,700"
2000,"1,072,363","5,290,771"
2001,"1,083,125","5,514,796"
2002,"1,053,186","4,926,746"
2003,"1,016,030","4,451,135"
2004,"1,001,159","5,000,149"
2005,"979,717","4,768,368"
2006,"955,229","4,679,991"
2007,"950,250","4,407,743"
2008,"935,766","4,843,478"
2009,"924,471","4,916,080"
2010,"892,074","4,295,413"
2011,"853,823","4,224,019"
2012,"849,172","4,006,185"
2013,"832,625","4,230,011"
2014,"815,506","4,240,739"
2015,"799,344","4,326,915"
2016,"778,734","4,196,691"
2017,"754,713","3,972,468"
2018,"737,673","3,868,045"
2019,"729,814","3,744,450"
2020,"726,432","3,506,578"
2021,"732,477","3,881,601"
2022,"727,054","3,763,700"
2023,"708,012","3,702,239"
