1992,"44,503,200"
1993,"45,001,113"
1994,"45,416,339"
1995,"45,858,029"
1996,"46,266,256"
1997,"46,684,069"
1998,"46,991,171"
1999,"47,335,678"
2000,"47,732,558"
2001,"48,021,543"
2002,"48,229,948"
2003,"48,386,823"
2004,"48,583,805"
2005,"48,782,274"
2006,"48,991,779"
2007,"49,268,928"
2008,"49,540,367"
2009,"49,773,145"
2010,"50,515,666"
2011,"50,734,284"
2012,"50,948,272"
2013,"51,141,463"
2014,"51,327,916"
2015,"51,529,338"
2016,"51,696,216"
2017,"51,778,544"
2018,"51,826,059"
2019,"51,849,861"
2020,"51,829,023"
2021,"51,638,809"
2022,"51,439,038"
2023,"51,325,329"
