연도,예상생산량,실제생산량,초과생산량,시장격리 여부,시장격리,산지쌀값(10/5),산지쌀값(12/5),연평균,평년,공공비축미 매입 가격,1인당 소비량(연간)
2014,4180000,4241000,180000,1,240000,44461,41149,"45,763","40,810","57,740",65.1
2015,4260000,4320000,350000,1,343000,40849,"37,083","44,600","42,373","52,270",62.9
2016,4022000,4197000,299000,1,299000,"33,519","32,082","39,698","41,138","64,900",61.9
2017,3955000,3972000,250000,1,370000,"36,660","37,886","37,388","38,932","52,570",61.8
2018,3875000,3868000,0,0,0,"48,453","48,253","48,538","35,675","67,050",61
2019,3780000,3744000,0,0,0,"47,331","47,199","52,458","37,199","65,750",59.2
2020,3631000,3507000,0,0,0,"53,806","53,821","53,638","41,329","75,140",57.7
2021,3830000,3882000,270000,1,370000,"55,064","51,331","59,080","46,721","74,300",56.9
2022,3857000,3764000,155000,1,450000,"44,734","45,490","51,336","50,053","64,530",56.7
2023,3682000,3702000,95000,0,0,"54,388","49,617","53,278","49,305","70,120",56.4
